delay_band,delay_band_sort,eligible_orders,reviewed_orders,without_usable_review,negative_review_orders,negative_review_rate,avg_review_score,median_review_score,gmv,is_low_sample
early_15plus,1,34939,34330,609,3061,0.089163996504515,4.328065831634139,5.0,5039690.84,False
early_8_14,2,36364,35778,586,3157,0.0882385823690536,4.314215439655654,5.0,4793728.18,False
early_4_7,3,12598,12433,165,1212,0.09748250623341108,4.230676425641438,5.0,1635063.18,False
early_1_3,4,4743,4662,81,515,0.11046761046761047,4.138567138567138,5.0,592846.22,False
on_time,5,1292,1264,28,155,0.12262658227848101,4.03995253164557,5.0,172996.17,False
late_1_3,6,1870,1833,37,586,0.31969448990725585,3.2962356792144027,4.0,250856.63,False
late_4_7,7,1802,1731,71,1169,0.6753321779318313,2.1068746389370308,1.0,287685.63,False
late_8_14,8,1478,1431,47,1149,0.8029350104821803,1.6666666666666667,1.0,229872.6,False
late_15_30,9,1039,990,49,809,0.8171717171717172,1.612121212121212,1.0,161423.43,False
late_31plus,10,345,322,23,219,0.6801242236024845,2.046583850931677,1.0,56086.05,False
