purchase_month,eligible_orders,late_count,late_delivery_rate,eligible_ex_p99_transit,late_ex_p99_transit,late_rate_ex_p99_transit
2017-02-01,1653,49,0.029643073200241985,1637,33,0.020158827122785584
2017-03-01,2546,116,0.04556166535742341,2507,77,0.030714000797766254
2017-04-01,2303,151,0.06556665219279201,2285,133,0.05820568927789934
2017-05-01,3545,106,0.029901269393511988,3534,95,0.026881720430107527
2017-06-01,3135,95,0.030303030303030304,3117,77,0.0247032402951556
2017-07-01,3872,108,0.027892561983471075,3842,78,0.02030192608016658
2017-08-01,4193,122,0.02909611256856666,4181,110,0.026309495336044007
2017-09-01,4150,182,0.04385542168674699,4130,162,0.03922518159806295
2017-10-01,4478,187,0.041759714158106295,4466,175,0.03918495297805643
2017-11-01,7288,904,0.12403951701427003,7183,799,0.1112348600863149
2017-12-01,5513,411,0.07455106112824234,5442,342,0.06284454244762955
2018-01-01,7069,403,0.05700947800254633,6990,324,0.0463519313304721
2018-02-01,6555,926,0.14126620900076278,6365,737,0.11578947368421053
2018-03-01,7003,1328,0.18963301442239042,6799,1129,0.16605383144580085
2018-04-01,6798,306,0.04501323918799647,6733,241,0.03579385118075152
2018-05-01,6749,443,0.06563935397836716,6730,425,0.06315007429420505
2018-06-01,6096,71,0.011646981627296589,6071,46,0.007577005435677813
2018-07-01,6156,208,0.03378817413905133,6139,191,0.031112559048705
2018-08-01,6351,393,0.061880018894662256,6349,391,0.06158450149629863
